epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.7748,1.10186,0.42105,1,1.08155,0.00010003,0.00010003,0.00010003
2,27.092,0.97598,0.73684,1,0.86789,0.00020374,0.00020374,0.00020374
3,35.7211,0.85551,0.84211,1,0.69722,0.000296132,0.000296132,0.000296132
4,44.2211,0.71206,0.89474,1,0.5233,0.000377206,0.000377206,0.000377206
5,52.7046,0.59382,0.89474,1,0.33136,0.000446963,0.000446963,0.000446963
6,61.2326,0.3513,1,1,0.17108,0.000505402,0.000505402,0.000505402
7,69.752,0.30004,1,1,0.11877,0.000552523,0.000552523,0.000552523
8,78.1736,0.17522,1,1,0.05791,0.000588326,0.000588326,0.000588326
9,86.5443,0.12686,1,1,0.02691,0.000612812,0.000612812,0.000612812
10,94.8891,0.13383,1,1,0.02135,0.000625981,0.000625981,0.000625981
11,103.393,0.0834,1,1,0.01579,0.000627831,0.000627831,0.000627831
12,111.827,0.0728,1,1,0.01017,0.000618364,0.000618364,0.000618364
13,120.207,0.07584,1,1,0.0094,0.000580174,0.000580174,0.000580174
14,128.619,0.10106,1,1,0.00796,0.000509438,0.000509438,0.000509438
15,137.002,0.07223,1,1,0.01008,0.000438703,0.000438703,0.000438703
16,145.229,0.02471,1,1,0.0114,0.000367967,0.000367967,0.000367967
17,153.787,0.03436,1,1,0.01037,0.000297232,0.000297232,0.000297232
18,162.232,0.03604,1,1,0.00898,0.000226497,0.000226497,0.000226497
19,170.539,0.05509,1,1,0.01014,0.000155761,0.000155761,0.000155761
20,178.785,0.04896,1,1,0.00996,8.50255e-05,8.50255e-05,8.50255e-05
